timestamp,gpu_util,memory_util,memory_used,pcie_tx,pcie_rx
2026/04/25 13:07:27.341,0,7,1387,,
2026/04/25 13:07:27.881,0,7,1387,,
2026/04/25 13:07:28.434,0,7,1387,,
2026/04/25 13:07:28.973,0,7,1385,,
2026/04/25 13:07:29.519,0,7,1385,,
2026/04/25 13:07:30.052,0,7,1381,,
2026/04/25 13:07:30.600,0,7,1381,,
2026/04/25 13:07:31.143,0,7,1381,,
2026/04/25 13:07:31.696,0,7,1381,,
2026/04/25 13:07:32.253,0,7,1369,,
2026/04/25 13:07:32.811,4,6,1370,,
2026/04/25 13:07:33.641,0,5,1370,,
2026/04/25 13:07:34.460,0,5,1371,,
2026/04/25 13:07:35.190,0,6,1371,,
